###一聲 ###
ㄉㄜˊ	de2
#ㄉㄞˊ	dai2
#ㄉㄟˊ	dei2
ㄉㄠˊ	dao2
#ㄉㄡˊ	dou2
#ㄉㄢˊ	dan2
#ㄉㄣˊ	den2
#ㄉㄤˊ	dang2
#ㄉㄥˊ	deng2
ㄉㄧˊ	di2
ㄉㄧㄝˊ	die2
#ㄉㄧㄠˊ	diao2
#ㄉㄧㄡˊ	diu2
ㄉㄧㄢˊ	dian2
#ㄉㄧㄤˊ	diang2
#ㄉㄧㄥˊ	ding2
ㄉㄨˊ	du2
ㄉㄨㄛˊ	duo2
#ㄉㄨㄟˊ	dui2
#ㄉㄨㄢˊ	duan2
#ㄉㄨㄣˊ	dun2
#ㄉㄨㄥˊ	dong2
ㄊㄚˊ	ta2
#ㄊㄜˊ	te2
ㄊㄞˊ	tai2
ㄊㄠˊ	tao2
ㄊㄡˊ	tou2
ㄊㄢˊ	tan2
ㄊㄤˊ	tang2
ㄊㄥˊ	teng2
ㄊㄧˊ	ti2
ㄊㄧㄝˊ	tie2
ㄊㄧㄠˊ	tiao2
ㄊㄧㄢˊ	tian2
ㄊㄧㄥˊ	ting2
ㄊㄨˊ	tu2
ㄊㄨㄛˊ	tuo2
ㄊㄨㄟˊ	tui2
ㄊㄨㄢˊ	tuan2
ㄊㄨㄣˊ	tun2
ㄊㄨㄥˊ	tong2
ㄋㄚˊ	na2
ㄋㄜˊ	ne2
ㄋㄞˊ	nai2
ㄋㄟˊ	nei2
ㄋㄠˊ	nao2
ㄋㄡˊ	nou2
ㄋㄢˊ	nan2
#ㄋㄣˊ	nen2
ㄋㄤˊ	nang2
ㄋㄥˊ	neng2
ㄋㄧˊ	ni2
#ㄋㄧㄚˊ	nia2
ㄋㄧㄝˊ	nie2
#ㄋㄧㄠˊ	niao2
ㄋㄧㄡˊ	niu2
ㄋㄧㄢˊ	nian2
ㄋㄧㄣˊ	nin2
ㄋㄧㄤˊ	niang2
ㄋㄧㄥˊ	ning2
ㄋㄨˊ	nu2
ㄋㄨㄟˊ	nui2
ㄋㄨㄛˊ	nuo2
ㄋㄨㄢˊ	nuan2
ㄋㄨㄣˊ	nun2
ㄋㄨㄥˊ	nong2
ㄋㄩˊ	nv2
#ㄋㄩㄝˊ	nve2
ㄌㄚˊ	la2
#ㄌㄛˊ	lo2
#ㄌㄜˊ	le2
ㄌㄞˊ	lai2
ㄌㄟˊ	lei2
ㄌㄠˊ	lao2
ㄌㄡˊ	lou2
ㄌㄢˊ	lan2
ㄌㄤˊ	lang2
ㄌㄥˊ	leng2
ㄌㄧˊ	li2
#ㄌㄧㄚˊ	lia2
ㄌㄧㄝˊ	lie2
ㄌㄧㄠˊ	liao2
ㄌㄧㄡˊ	liu2
ㄌㄧㄢˊ	lian2
ㄌㄧㄣˊ	lin2
ㄌㄧㄤˊ	liang2
ㄌㄧㄥˊ	ling2
ㄌㄨˊ	lu2
ㄌㄨㄛˊ	luo2
ㄌㄨㄢˊ	luan2
ㄌㄨㄣˊ	lun2
ㄌㄨㄥˊ	long2
ㄌㄩˊ	lv2
#ㄌㄩㄝˊ	lve2
ㄌㄩㄢˊ	lvan2
ㄍㄚˊ	ga2
ㄍㄜˊ	ge2
#ㄍㄞˊ	gai2
#ㄍㄟˊ	gei2
#ㄍㄠˊ	gao2
#ㄍㄡˊ	gou2
#ㄍㄢˊ	gan2
ㄍㄣˊ	gen2
#ㄍㄤˊ	gang2
#ㄍㄥˊ	geng2
ㄍㄨˊ	gu2
ㄍㄨㄚˊ	gua2
ㄍㄨㄛˊ	guo2
#ㄍㄨㄞˊ	guai2
#ㄍㄨㄟˊ	gui2
#ㄍㄨㄢˊ	guan2
#ㄍㄨㄣˊ	gun2
#ㄍㄨㄤˊ	guang2
#ㄍㄨㄥˊ	gong2
#ㄎㄚˊ	ka2
ㄎㄜˊ	ke2
#ㄎㄞˊ	kai2
#ㄎㄠˊ	kao2
#ㄎㄡˊ	kou2
#ㄎㄢˊ	kan2
#ㄎㄣˊ	ken2
ㄎㄤˊ	kang2
#ㄎㄥˊ	keng2
ㄎㄨˊ	ku2
#ㄎㄨㄚˊ	kua2
#ㄎㄨㄛˊ	kuo2
#ㄎㄨㄞˊ	kuai2
ㄎㄨㄟˊ	kui2
#ㄎㄨㄢˊ	kuan2
#ㄎㄨㄣˊ	kun2
ㄎㄨㄤˊ	kuang2
#ㄎㄨㄥˊ	kong2
ㄏㄚˊ	ha2
ㄏㄜˊ	he2
ㄏㄞˊ	hai2
#ㄏㄟˊ	hei2
ㄏㄠˊ	hao2
ㄏㄡˊ	hou2
ㄏㄢˊ	han2
ㄏㄣˊ	hen2
ㄏㄤˊ	hang2
ㄏㄥˊ	heng2
ㄏㄨˊ	hu2
ㄏㄨㄚˊ	hua2
ㄏㄨㄛˊ	huo2
ㄏㄨㄞˊ	huai2
ㄏㄨㄟˊ	hui2
ㄏㄨㄢˊ	huan2
ㄏㄨㄣˊ	hun2
ㄏㄨㄤˊ	huang2
ㄏㄨㄥˊ	hong2
ㄐㄧˊ	ji2
ㄐㄧㄚˊ	jia2
ㄐㄧㄝˊ	jie2
ㄐㄧㄠˊ	jiao2
